shipment_id,order_date,supplier_id,supplier_name,supplier_tier,warehouse_id,origin_warehouse,carrier_name,weight_kg,shipping_cost_usd,scheduled_delivery_date,actual_delivery_date,delivery_delay_days,delivery_status,on_time_flag,damage_flag
SHP-20240001,2024-04-04,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,446.08,543.57,2024-04-10,2024-04-14,4,Delayed,0,0
SHP-20240002,2024-05-21,SUP-01,Apex Precision Components,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,578.48,420.63,2024-05-23,2024-05-23,0,On-Time,1,0
SHP-20240003,2025-12-20,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,223.18,326.71,2025-12-24,2025-12-24,0,On-Time,1,0
SHP-20240004,2024-03-14,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,132.27,119.59,2024-03-19,2024-03-24,5,Delayed,0,0
SHP-20240005,2024-02-09,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Regional Truckload,212.09,174.48,2024-02-15,2024-02-15,0,On-Time,1,0
SHP-20240006,2024-07-15,SUP-03,Delta Electronics Hub,Tier 1,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,443.98,313.88,2024-07-17,2024-07-17,0,On-Time,1,0
SHP-20240007,2025-05-21,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,559.38,1064.32,2025-05-24,2025-05-31,7,Delayed,0,0
SHP-20240008,2025-05-06,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Express Air Freight,456.58,890.44,2025-05-11,2025-05-14,3,Delayed,0,0
SHP-20240009,2025-07-04,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,144.92,174.61,2025-07-08,2025-07-09,1,Delayed,0,0
SHP-20240010,2024-09-30,SUP-04,Evergreen Raw Materials,Tier 2,WH-BLR-03,South Central (Bengaluru),Regional Truckload,842.75,592.72,2024-10-04,2024-10-04,0,On-Time,1,0
SHP-20240011,2025-10-26,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,560.87,1104.68,2025-10-28,2025-10-28,0,On-Time,1,0
SHP-20240012,2025-06-16,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,614.52,443.79,2025-06-20,2025-06-24,4,Delayed,0,0
SHP-20240013,2024-03-13,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,669.54,509.59,2024-03-16,2024-03-16,0,On-Time,1,0
SHP-20240014,2024-11-06,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,752.54,577.24,2024-11-11,2024-11-11,0,On-Time,1,0
SHP-20240015,2024-04-26,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,572.18,678.07,2024-05-01,2024-05-07,6,Delayed,0,0
SHP-20240016,2025-06-10,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Express Air Freight,424.01,854.53,2025-06-13,2025-06-14,1,Delayed,0,0
SHP-20240017,2025-11-19,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,81.56,134.13,2025-11-22,2025-11-23,1,Delayed,0,0
SHP-20240018,2024-12-30,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,318.54,400.48,2025-01-02,2025-01-02,0,On-Time,1,0
SHP-20240019,2025-01-26,SUP-04,Evergreen Raw Materials,Tier 2,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,797.15,604.5,2025-01-28,2025-01-29,1,Delayed,0,0
SHP-20240020,2025-06-04,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,676.67,836.04,2025-06-07,2025-06-13,6,Delayed,0,0
SHP-20240021,2025-09-12,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,203.28,273.2,2025-09-18,2025-09-19,1,Delayed,0,0
SHP-20240022,2025-08-12,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,197.13,310.67,2025-08-16,2025-08-19,3,Delayed,0,0
SHP-20240023,2024-02-21,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,-377.53,442.89,2024-02-23,2024-02-24,1,delayed  ,0,0
SHP-20240024,2024-09-13,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,482.13,395.39,2024-09-15,2024-09-19,4,Delayed,0,0
SHP-20240025,2024-08-07,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,461.95,372.36,2024-08-13,2024-08-14,1,Delayed,0,0
SHP-20240026,2025-11-03,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,457.86,548.49,2025-11-05,2025-11-12,7,delayed  ,0,0
SHP-20240027,2025-08-13,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,583.63,713.71,2025-08-17,2025-08-20,3,Delayed,0,0
SHP-20240028,2024-12-18,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,93.11,106.06,2024-12-21,2024-12-22,1,Delayed,0,0
SHP-20240029,2024-03-13,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,-289.55,281.61,2024-03-19,2024-03-20,1,Delayed,0,0
SHP-20240030,2025-06-24,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,485.65,389.36,2025-06-29,2025-07-05,6,Delayed,0,0
SHP-20240031,2024-04-01,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,65.16,145.6,2024-04-04,2024-04-04,0,On-Time,1,0
SHP-20240032,2024-03-25,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,795.47,542.83,2024-03-30,2024-04-04,5,Delayed,0,0
SHP-20240033,2025-09-23,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,383.62,772.39,2025-09-26,2025-09-28,2,Delayed,0,0
SHP-20240034,2024-09-29,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,487.15,589.7,2024-10-03,2024-10-04,1,Delayed,0,0
SHP-20240035,2025-03-08,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,166.02,251.21,2025-03-12,2025-03-21,9,Delayed,0,0
SHP-20240036,2024-11-16,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,836.42,956.38,2024-11-18,2024-11-18,0,On-Time,1,0
SHP-20240037,2024-11-07,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,257.42,375.16,2024-11-13,2024-11-13,0,On-Time,1,0
SHP-20240038,2024-09-01,SUP-04,Evergreen Raw Materials,Tier 2,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,540.41,642.15,2024-09-04,2024-09-07,3,Delayed,0,0
SHP-20240039,2025-07-14,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,331.32,303.15,2025-07-20,2025-07-25,5,Delayed,0,0
SHP-20240040,2024-09-20,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,303.52,634.9,2024-09-23,2024-09-23,0,On-Time,1,0
SHP-20240041,2025-12-15,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,204.94,433.96,2025-12-17,2025-12-17,0,On-Time,1,0
SHP-20240042,2025-10-31,SUP-04,Evergreen Raw Materials,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,197.9,209.45,2025-11-03,2025-11-04,1,Delayed,0,0
SHP-20240043,2025-09-15,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,544.8,1092.04,2025-09-17,2025-09-17,0,On-Time,1,0
SHP-20240044,2024-01-25,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,463.07,546.15,2024-01-29,2024-01-29,0,On-Time,1,0
SHP-20240045,2025-05-27,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,245.63,238.94,2025-05-29,2025-05-30,1,Delayed,0,0
