lead_id,lead_date,campaign_id,campaign_name,marketing_channel,target_segment,funnel_stage,is_mql,is_sql,is_opportunity,is_customer,deal_value_usd,days_to_close
LEAD-20240001,2025-02-19,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,6
LEAD-20240002,2024-01-22,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20240003,2024-07-14,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Closed Won,1,1,1,1,19100.96,73
LEAD-20240004,2024-08-01,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20240005,2025-01-31,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20240006,2025-11-09,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240007,2024-09-02,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,19
LEAD-20240008,2025-05-09,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,12
LEAD-20240009,2024-10-30,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20240010,2024-03-28,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Closed Won,1,1,1,1,5629.0,46
LEAD-20240011,2024-09-14,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Closed Won,1,1,1,1,5014.96,47
LEAD-20240012,2025-03-17,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Sales Qualified Lead,1,1,0,0,0.0,40
LEAD-20240013,2024-07-31,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20240014,2025-05-28,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240015,2024-02-06,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240016,2025-08-12,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240017,2024-05-25,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Opportunity,1,1,1,0,0.0,74
LEAD-20240018,2025-05-24,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,39
LEAD-20240019,2024-09-26,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240020,2024-03-27,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20240021,2025-06-04,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,21
LEAD-20240022,2024-06-12,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240023,2024-05-24,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,24
LEAD-20240024,2024-01-21,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20240025,2025-05-12,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Sales Qualified Lead,1,1,0,0,0.0,44
LEAD-20240026,2025-11-24,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,23
LEAD-20240027,2025-12-01,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240028,2025-03-05,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20240029,2024-05-07,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Closed Won,1,1,1,1,5045.8,109
LEAD-20240030,2024-09-22,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240031,2025-11-27,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,20
LEAD-20240032,2024-04-24,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Opportunity,1,1,1,0,0.0,88
LEAD-20240033,2024-07-05,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240034,2025-10-19,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240035,2025-05-15,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20240036,2025-03-08,CMP-09,Customer Reactivation Drip,Email Marketing,SMB,Closed Won,1,1,1,1,5745.98,107
LEAD-20240037,2024-02-28,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,26
LEAD-20240038,2024-04-19,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20240039,2025-10-28,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240040,2024-12-20,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240041,2025-04-15,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Sales Qualified Lead,1,1,0,0,0.0,10
LEAD-20240042,2025-05-05,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,10
LEAD-20240043,2025-05-29,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20240044,2024-12-09,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240045,2024-05-20,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Sales Qualified Lead,1,1,0,0,0.0,31
LEAD-20240046,2025-07-17,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,18
LEAD-20240047,2025-09-25,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,42
LEAD-20240048,2025-02-08,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20240049,2025-09-15,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,20
LEAD-20240050,2025-08-03,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,6
