order_id,order_date,customer_id,customer_name,segment,region,category,sub_category,product_name,unit_price,quantity,discount,sales,profit,shipping_mode
ORD-20240001,2025-07-25,CUST-0501,Customer_501,Corporate,North,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,84.28,1,0.0,84.28,16.4,First Class
ORD-20240002,2025-10-20,CUST-0581,Customer_581,Corporate,North,Furniture,Filing Cabinets,Furniture - Filing Cabinets,603.84,1,0.0,603.84,55.84,Standard Class
ORD-20240003,2025-02-05,CUST-0110,Customer_110,Consumer,West,Office Supplies,Desk Organization,Office Supplies - Desk Organization,20.42,1,0.05,19.4,3.22,First Class
ORD-20240004,2025-10-14,CUST-0377,Customer_377,Corporate,North,Technology,Printers,Technology - Printers,654.42,2,0.0,1308.84,386.98,Standard Class
ORD-20240005,2025-02-03,CUST-0509,Customer_509,Consumer,North,Technology,Peripherals,Technology - Peripherals,296.17,1,0.2,236.94,25.79,Standard Class
ORD-20240006,2024-09-03,CUST-0253,Customer_253,Consumer,West,Furniture,Bookcases,Furniture - Bookcases,781.08,1,0.0,781.08,40.67,Same Day
ORD-20240007,2024-06-10,CUST-0202,Customer_202,Consumer,South,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,85.2,1,,76.68,10.56,Standard Class
ORD-20240008,2024-10-02,CUST-0308,Customer_308,Corporate,North,Furniture,Bookcases,Furniture - Bookcases,561.01,1,0.2,448.81,-21.54,Standard Class
ORD-20240009,2025-08-24,CUST-0180,Customer_180,Consumer,West,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,251.38,1,0.3,175.97,-20.94,Standard Class
ORD-20240010,2024-06-26,CUST-0601,Customer_601,Consumer,South,Technology,Smartphones,Technology - Smartphones,382.97,2,0.0,765.94,195.65,First Class
ORD-20240011,2024-01-28,CUST-0752,Customer_752,Corporate,South,Furniture,Filing Cabinets,Furniture - Filing Cabinets,198.36,5,0.05,942.21,31.2,First Class
ORD-20240012,2024-09-23,CUST-0046,Customer_46,Consumer,North,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,118.46,2,0.3,165.84,-0.62,Same Day
ORD-20240013,2025-03-02,CUST-0496,Customer_496,Corporate,North,Technology,Laptops & PCs,Technology - Laptops & PCs,105.59,1,0.05,100.31,24.96,Standard Class
ORD-20240014,2024-07-03,CUST-0387,Customer_387,Consumer,North,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,796.51,1,0.05,756.68,32.14,Standard Class
ORD-20240015,2025-05-06,CUST-0788,Customer_788,Consumer,South,Technology,Laptops & PCs,Technology - Laptops & PCs,1316.14,4,0.15,4474.88,676.82,Second Class
ORD-20240016,2025-10-02,CUST-0783,Customer_783,Corporate,South,Technology,Smartphones,Technology - Smartphones,942.49,1,0.1,848.24,191.29,Standard Class
ORD-20240017,2025-08-14,CUST-0756,Customer_756,Corporate,East,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,132.93,1,0.0,132.93,27.68,First Class
ORD-20240018,2024-10-07,CUST-0266,Customer_266,Corporate,West,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,17.29,8,0.0,138.32,31.58,First Class
