customer_id,geography,gender,age,tenure,credit_score,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,risk_tier
ACC-100001,Spain,Female,32,10,684,34548.16,1,1,0,78396.66,1,Low Risk
ACC-100002,France,Male,28,10,664,0.0,1,1,1,171074.45,0,Low Risk
ACC-100003,Spain,Male,38,3,709,0.0,1,1,0,56257.9,0,Low Risk
ACC-100004,France,Female,45,5,648,129255.78,2,1,0,81890.35,0,Low Risk
ACC-100005,France,Male,36,10,684,91286.03,3,1,0,51214.19,0,High Risk
ACC-100006,Germany,Female,42,8,694,104351.21,1,0,1,147569.58,0,Medium Risk
ACC-100007,France,Female,25,10,500,39871.18,1,1,0,138762.68,1,Low Risk
ACC-100008,France,Male,39,10,787,184977.97,1,1,1,158542.7,1,Low Risk
ACC-100009,France,Male,18,9,457,88782.47,2,1,1,86253.0,0,Low Risk
ACC-100010,Spain,Male,28,4,730,66759.84,2,1,0,42774.43,0,Low Risk
ACC-100011,Germany,Female,54,8,848,59139.0,1,1,1,130035.56,1,Medium Risk
ACC-100012,Spain,Female,36,7,702,0.0,1,1,0,80336.93,1,Low Risk
ACC-100013,France,Male,48,5,539,0.0,1,1,0,85437.77,0,Medium Risk
ACC-100014,France,Female,37,10,807,0.0,2,0,1,,0,Low Risk
ACC-100015,France,Male,39,5,667,182484.23,2,0,0,79530.24,0,Low Risk
ACC-100016,Spain,Male,18,9,750,0.0,2,1,1,60337.73,0,Low Risk
ACC-100017,Spain,Female,33,6,499,107443.35,1,0,1,167073.5,0,Low Risk
ACC-100018,France,Male,40,0,721,177062.95,2,1,1,116416.76,0,Low Risk
ACC-100019,France,Female,26,0,675,0.0,2,0,0,167027.81,0,Low Risk
ACC-100020,France,Male,33,9,728,0.0,1,1,1,111331.51,0,Low Risk
ACC-100021,Germany,Female,50,2,767,114434.97,2,0,1,181636.4,0,Low Risk
ACC-100022,France,Male,22,1,630,84805.43,2,0,1,66076.25,0,Low Risk
ACC-100023,France,Female,-25,0,717,0.0,2,1,1,36148.81,0,Low Risk
ACC-100024,France,Male,18,9,570,77710.13,1,1,0,117893.26,1,Low Risk
ACC-100025,Spain,Male,50,1,735,118822.64,1,1,0,73108.59,1,Medium Risk
ACC-100026,France,Female,32,4,592,105298.49,2,1,1,95011.89,0,Low Risk
ACC-100027,France,Male,57,2,587,148788.51,2,0,0,81426.61,0,Medium Risk
ACC-100028,Spain,Male,35,10,652,0.0,2,0,0,154182.91,0,Low Risk
ACC-100029,Spain,Male,29,2,579,107714.51,1,0,1,160972.54,0,Low Risk
ACC-100030,Germany,Male,31,6,850,166189.6,2,1,0,115383.03,0,Medium Risk
ACC-100031,Germany,Female,32,1,669,136506.36,1,0,1,188070.68,0,Medium Risk
ACC-100032,Germany,Male,40,5,709,53553.78,1,1,1,127642.22,0,Low Risk
ACC-100033,France,Male,41,5,614,112291.93,2,1,0,133111.24,0,Low Risk
ACC-100034,Spain,Female,40,5,632,144715.21,3,1,1,75572.85,1,High Risk
ACC-100035,Spain,Female,47,8,677,0.0,2,1,1,168050.58,0,Low Risk
ACC-100036,Spain,Male,-49,3,642,140055.56,2,1,1,130454.84,1,Low Risk
ACC-100037,Germany,Male,41,1,626,63469.83,2,1,1,98844.17,1,Low Risk
ACC-100038,France,Male,44,6,831,64490.3,1,1,1,85924.69,0,Low Risk
ACC-100039,France,Male,21,4,667,0.0,1,1,1,31032.2,0,Low Risk
ACC-100040,Germany,Female,35,10,652,180880.0,2,1,1,181509.65,0,Low Risk
ACC-100041,Spain,Male,52,6,570,41736.24,2,0,0,81872.38,0,Low Risk
ACC-100042,France,Male,44,2,583,111654.9,1,0,0,134010.34,0,Medium Risk
ACC-100043,France,Male,55,10,370,0.0,2,0,0,116034.07,1,Low Risk
