customer_id,customer_name,segment,region,recency_days,frequency,monetary_value,r_score,f_score,m_score,rfm_segment
CUST-0505,Customer_505,Consumer,South,99,4,262.33,1,1,1,Hibernating / Lost
CUST-0101,Customer_101,Consumer,North,18,7,759.26,4,1,1,Promising New
CUST-0323,Customer_323,Home Office,North,104,4,788.04,1,1,1,Hibernating / Lost
CUST-0069,Customer_69,Consumer,South,20,5,1305.97,4,1,1,Promising New
CUST-0569,Customer_569,Corporate,East,78,5,1313.27,2,1,1,Hibernating / Lost
CUST-0527,Customer_527,Corporate,West,16,11,1411.31,4,2,1,Promising New
CUST-0838,Customer_838,Corporate,South,4,6,1437.11,5,1,1,Promising New
CUST-0210,Customer_210,Consumer,South,36,5,1806.89,3,1,1,Hibernating / Lost
CUST-0024,Customer_24,Consumer,East,4,7,1809.31,5,1,1,Promising New
CUST-0819,Customer_819,Corporate,North,29,8,1921.31,3,1,1,Hibernating / Lost
CUST-0173,Customer_173,Corporate,North,50,5,2203.8,3,1,1,Hibernating / Lost
CUST-0559,Customer_559,Home Office,West,219,6,2250.65,1,1,1,Hibernating / Lost
CUST-0614,Customer_614,Consumer,East,88,7,2311.62,2,1,1,Hibernating / Lost
CUST-0808,Customer_808,Home Office,North,24,6,2391.54,4,1,1,Promising New
CUST-0618,Customer_618,Corporate,North,47,6,2403.0,3,1,1,Hibernating / Lost
CUST-0817,Customer_817,Home Office,West,234,11,2434.68,1,3,1,At-Risk Customers
CUST-0304,Customer_304,Corporate,East,113,7,2487.76,1,1,1,Hibernating / Lost
CUST-0157,Customer_157,Consumer,Central,78,9,2623.35,2,1,1,Hibernating / Lost
CUST-0693,Customer_693,Consumer,North,33,10,2714.14,3,2,1,Hibernating / Lost
CUST-0547,Customer_547,Consumer,East,32,10,2726.1,3,2,1,Hibernating / Lost
CUST-0696,Customer_696,Consumer,West,20,9,2741.59,4,1,1,Promising New
CUST-0623,Customer_623,Home Office,East,7,10,2766.4,5,2,1,Promising New
CUST-0609,Customer_609,Home Office,West,246,7,2779.36,1,1,1,Hibernating / Lost
CUST-0524,Customer_524,Consumer,Central,223,7,2797.4,1,1,1,Hibernating / Lost
